FECHA_2;HORA;POZO;OPERACIÓN (DRILLING, TRIPPING, BACK REAMING);Profundidad (ft);"VOLTAJE DE SALIDA DRAWORKS 
VAC ";CORRIENTE DE SALIDA DRAWORK Aac;"VOLTAJE DE SALIDA TOP DRIVE 
VAC";CORRIENTE DE SALIDA TOP DRIVE Aac;PRESION STAND-PIPE;"SPM
MP2 NOV    FL-1000";VOLTAJE DE SALIDA Motor MP2 Vac;CORRIENTE DE SALIDA Motor MP2 Aac;"SPM
MP1 NOV    FL-1000";VOLTAJE DE SALIDA Motor  MP1 Vac;CORRIENTE DE SALIDA Motor MP1 Aac;Corriente  HPU1 Aac;Corriente  HPU2 Aac;% Carga VFD;POTENCIA MTU(1) GEN 1  kW;CORRIENTE Gen 1 Aac;% INYECCION MTU-1;POTENCIA MTU(2) GEN 2 KW;CORRIENTE Gen 2 Aac;% INYECCION MTU-2;POTENCIA MTU(3) GEN 3 KW;CORRIENTE Gen 3 Aac;% INYECCION MTU-3;"CONSUMO DIESEL
GLS x 24 H";"HOROMETRO
MTU 1";"CONSUMO DIESEL MTU 2
GLS x 24 H";"HOROMETRO
MTU 2";"CONSUMO DIESEL MTU 3
GLS x 24 H";"HOROMETRO
MTU 3";"HOROMETRO
QSL-9 
CAMPAMENTO";OTROS CONSUMOS;CONSUMO DIESEL TOTAL GENERADORES;CUNSUMO DIESEL  QSL-9     CAMP
9/05/2022;6:00;48H;NPT;625;0;0;0;0;0;0;0;0;0;0;0;38;0;15;120;200;no lectura;0;0;no lectura;0;0;no lectura;;;;;;;;;;
9/05/2022;10:00;48H;NPT;625;0;0;0;0;0;0;0;0;0;0;0;38;0;15;120;200;no lectura;0;0;no lectura;0;0;no lectura;;;;;;;;;;
9/05/2022;14:00;48H;DRILLING;800;32;544;3,5;38;1000;75;452;420;75;451;425;36;0;30;220;260;no lectura;178;235;no lectura;0;0;no lectura;;;;;;;;;;
9/05/2022;18:00;48H;DRILLING;1050;70;546;166;53;2016;84;560;469;84;563;481;35;0;40;338;388;no lectura;0;0;no lectura;350;372;no lectura;;18830;;16333;;12546;20101;218;643;
9/05/2022;22:00;48H;DRILLING;1526;109;542;0.5;38;1654;84;562;457;84;561;466;35;0;35;278;317;no lectura;0;0;no lectura;358;402;no lectura;;;;;;;;;;
4/01/2021;6:00;48H;CIRCULANDO;2268;4.1;538;0.3;37;1660;67;451;441;67;451;455;35;0;30;250;399;no lectura;0;0;no lectura;263;294;no lectura;;;;;;;;;;
4/01/2021;10:00;48H;PERFORANDO FASE 2;2596;5;562;172;57;2667;84;561;509;84;562;509;35;0;40;386;423;no lectura;0;0;no lectura;422;453;no lectura;;;;;;;;;;
4/01/2021;14:00;48H;PERFORANDO FASE 2;2853;51;554;200;84;2815;84;563;522;84;564;544;37;0;40;0;0;no lectura;287;337;no lectura;537;557;no lectura;;;;;;;;;;
4/01/2021;18:00;48H;PERFORANDO FASE 2;3082;9,2;531;5,1;61;3051;84;563;533;84;561;532;36;0;45;0;0;no lectura;360;385;no lectura;477;531;no lectura;;18854;;16343;;15546;20125;527;1288;
4/01/2021;22:00;48H;PERFORANDO FASE 2;3526;20;540;0;0;2404;73;492;492;73;485;505;36;0;40;0;0;no lectura;279;323;no lectura;406;450;no lectura;;;;;;;;;;
5/01/2021;6:00;48H;PERFORANDO FASE 2;3670;2;563;0;0;2276;76;504;473;76;505;496;37;0;35;0;0;no lectura;304;344;no lectura;382;426;no lectura;;;;;;;;;;
5/01/2021;10:00;48H;PERFORANDO FASE 2;3874;26;581;189;90;2403;76;511;495;76;511;511;38;0;38;417;369;no lectura;308;368;no lectura;0;0;no lectura;;;;;;;;;;
5/01/2021;14:00;48H;PERFORANDO FASE 2;4095;6,2;541;0;0;2465;76;505;501;76;505;489;36;0;38;0;0;no lectura;312;360;no lectura;383;417;no lectura;;;;;;;;;;
5/01/2021;18:00;48H;TRIP OUT;3390;158;532;0;0;0;0;0;0;0;0;0;37;0;30;0;0;no lectura;0;0;no lectura;295;376;no lectura;;18860;;16364;;12564;20149;255;1178;
