"NNSY","NNUD01","NNUD02","NNUD03","NNUD04","NNUD05","NNUD06","NNUD07","NNUD08","NNUD09","NNUD10","NNN001","NNN002","NNN003","NNN004","NNN005","NNN006","NNN007","NNN008","NNN009","NNN010","NNCK01","NNCK02","NNCK03","NNCK04","NNCK05","NNCK06","NNCK07","NNCK08","NNCK09","NNCK10"
"    ","Contracts      ","               ","               ","               ","               ","               ","               ","               ","               ","               ",1,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"  14","Budget Forecast","               ","               ","               ","               ","               ","               ","               ","               ","               ",100,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"00  ","Batch Number   ","               ","Question Number","Job Number     ","               ","EDI Batch Num  ","Text File Proce","               ","               ","               ",3671678,592,1,1091472,0,227,1002,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"01  ","Address Number ","               ","               ","               ","               ","               ","               ","               ","               ","               ",178805,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"02  ","Serk Assignment","Used by J011123","               ","               ","               ","               ","               ","               ","               ","               ",12760446,1,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"03  ","Invoice Number ","Unapplied Cash ","Chargeback No  ","Statement No   ","Check Number   ","Draft Number   ","Credit Memo    ","Escalation     ","Manual Entries ","Payment ID     ",5000,0,0,0,0,0,0,0,0,1,"N","N","N","N","N","N","N","N","N","N"
"03B ","Invoice Number ","Unapplied Recei","Chargeback No  ","Statement No   ","Receipt Number ","Draft Number   ","Credit Memo    ","Activity ID    ","               ","Payment ID     ",1,1,1,860,1,1,1,132,0,68425,"N","N","N","N","N","N","N","N","N","N"
"03C ","Issue Number   ","Resolution No  ","               ","               ","               ","               ","               ","               ","               ","               ",1,1,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"04  ","Voucher Entry  ","Future Use     ","Future Use     ","Debit Stmt Chk#","Check No.-ACH  ","EFT Tape Member","PWP Group      ","               ","               ","               ",5026,0,0,978637,890000,8550,100,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"05  ","               ","Action Plans   ","               ","EE Added Train ","               ","               ","               ","               ","               ","               ",0,100,100,100,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"06  ","Check Control #","Time Batch #   ","Transaction No.","Interim Batch  ","Journal Documts","Primary Ctl #  ","Bank Data Ctr #","Wage Attachment","Piecework Item ","               ",2000,12490,359698,100,8475,0,0,100,0,0,"Y","N","N","N","N","Y","N","N","Y","N"
"07  ","W-2 Control    ","W-2 Trans. Ct  ","DBA Trans Nbr  ","Batch Number#  ","OBSOLETE       ","Leave Request# ","ADPPeriodicFile","               ","ADPQuarterFile ","               ",35000,53000,100,20000,60000,221,1,0,1,0,"N","N","N","N","N","N","N","N","N","N"
"08  ","Requesition No.","               ","Case Number    ","Job Competency ","               ","               ","               ","               ","               ","               ",4164,0,200,6903,0,0,0,0,0,0,"Y","N","N","N","N","N","N","N","N","N"
"08R ","Recruitment #  ","Posting #      ","Applicant Login","               ","               ","               ","               ","               ","               ","               ",515,517,513,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"09  ","Next Account ID","Journal Entry  ","Consol Accounts","On-Line Consol ","Bank Journal   ","Reconciliation ","Balance Forward","               ","               ","               ",3347584,1380739,90000000,1021,1000,1258,1000,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"09E ","Report Number  ","               ","               ","               ","               ","               ","               ","               ","               ","               ",1000,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"10  ","MSC - Batch No.","MSC - Bus. Unit","MSC - Line SERK","               ","               ","               ","               ","               ","               ","               ",3,1,6,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"12  ","Asset Number   ","FUTURE-not used","Text Key-loc   ","Transfer No-loc","               ","               ","               ","               ","               ","               ",30450,1,93110,79072,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"14  ","Budget Forecast","               ","               ","               ","               ","               ","               ","               ","               ","               ",1769,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"15  ","Lease Number   ","Billing Control","Expense Partici","Log Number     ","Clause Number  ","Detail Number  ","               ","               ","               ","               ",1000,1000,1000,1000,1000,1000,0,0,0,0,"Y","N","N","N","N","N","N","N","N","N"
"16  ","               ","               ","               ","               ","               ","               ","               ","Assignment Num ","Assignment Batc","Rate ID        ",0,0,0,0,0,0,0,19,10,12,"N","N","N","N","N","N","N","N","N","N"
"17  ","Case Number    ","Case T/E Batch ","E-Help         ","Contracts      ","Equipment      ","               ","               ","               ","               ","               ",17384,20000,20000,20000,1170345,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"30  ","Kanban ID      ","               ","               ","               ","               ","               ","               ","               ","               ","               ",1002,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"31  ","               ","Batch #        ","Prod Sched ID  ","Transaction ID ","               ","               ","               ","               ","               ","               ",1000000,812228,100,100,383,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"31B ","Process ID     ","Wine Lot       ","               ","Barrel Master  ","Barrel ID      ","Vessel ID      ","               ","Equipment ID   ","Definition ID  ","Operation No   ",2002,1000,0,1000,1000,1001,0,1000,1000,1000,"N","N","N","N","N","N","N","N","N","N"
"31P ","Related Order  ","               ","               ","               ","               ","               ","               ","               ","               ","               ",14664,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"32  ","Cache          ","               ","               ","               ","               ","               ","               ","               ","               ","               ",54,3,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"34  ","Summary Key    ","F3411 BLK ID   ","F3412 BLK ID   ","               ","               ","               ","               ","               ","               ","               ",6594,2,2,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"34A ","Numetrix Batch ","               ","               ","               ","               ","               ","               ","               ","               ","               ",1,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"37  ","Defect Number  ","Text ID Number ","Table Seq No.  ","Sample Number  ","               ","               ","               ","               ","               ","               ",1115,149418,5300,2098,0,0,0,0,0,0,"Y","N","N","N","N","N","N","N","N","N"
"38  ","Adjustments    ","               ","               ","               ","               ","               ","               ","               ","               ","               ",1000,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"40  ","Lot Number     ","Deliver Notes  ","Pick Slip      ","Text ID Number ","Item/Addr ID   ","Price Adj ID   ","Act Based Acct ","Lot MM/DD Nmbr ","Order Templates","RMA            ",14085,36258,19891,17626,1000,5000,1000,1160002,1,100,"N","N","N","N","N","N","N","N","N","N"
"40G ","Freeze ID      ","Sub Block ID   ","               ","               ","               ","               ","               ","               ","               ","               ",1,1,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"40R ","Supp Dmd Header","Supp Dmd Detail","               ","               ","               ","               ","               ","               ","               ","               ",1,1,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"41  ","New Item Add   ","Inv. Adjustment","Inv. Issues    ","Inv. Transfers ","Cycle Count    ","Recompute Cost ","Inv. Re-Class  ","               ","               ","               ",218172,1,1,1,1147,1,1,246177,0,0,"N","N","N","N","N","N","N","N","N","N"
"41B ","Meter Number   ","Filling Line no","Gain/Loss Rec #","Bulk Stock Mvmt","Four Point Rec#","               ","               ","               ","               ","               ",1000,0,0,1000,0,0,0,0,0,0,"N","N","N","Y","N","N","N","N","N","N"
"42  ","Sales Order    ","Direct Ship    ","Sales Quote    ","Credit Memo    ","Sales Blanket  ","Sales Transfer ","Price List     ","Shipments      ","               ","               ",1,1,1,1,1,1,100,526,0,0,"N","N","N","N","N","N","N","N","N","N"
"43  ","Requisition    ","RFQ            ","Purchase Order ","Change Order   ","Blanket Order  ","Subcontract    ","Receipt Doc.   ","Direct Ship    ","Transfer       ","               ",1,1,1,1,1,1,1665,1,1,1000,"N","N","N","N","N","N","N","N","N","N"
"43C ","Contract ID    ","               ","               ","               ","               ","               ","               ","               ","               ","               ",1,0,0,0,0,0,0,0,0,0,"Y","N","N","N","N","N","N","N","N","N"
"43E ","Requisition SS ","               ","               ","               ","               ","               ","               ","               ","               ","               ",1014,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"43Q ","Sourcing       ","               ","               ","               ","               ","               ","               ","               ","               ","               ",3467,0,0,0,0,0,0,0,0,0,"Y","N","N","N","N","N","N","N","N","N"
"44H ","               ","               ","               ","               ","               ","               ","               ","               ","               ","               ",0,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"44H0","               ","               ","               ","               ","               ","               ","               ","               ","               ","               ",0,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"44H1","               ","               ","               ","               ","               ","               ","               ","               ","               ","               ",0,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"44H2","               ","               ","               ","               ","               ","               ","               ","               ","               ","               ",0,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"44H3","               ","               ","               ","               ","               ","               ","               ","               ","               ","               ",0,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"44H4","Workfile       ","               ","               ","               ","               ","               ","               ","               ","               ","               ",0,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"44H5","R44H5001 Job   ","Closing Doc No ","               ","               ","               ","               ","               ","               ","               ","               ",0,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"44H6","Workfile       ","               ","               ","               ","               ","               ","               ","               ","               ","               ",0,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"44H7","Lot Start PID 1","Lot Start PID 2","Link Rec Key ID","Man PO Orig #  ","               ","               ","               ","               ","               ","               ",0,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"44H9","               ","               ","               ","               ","               ","               ","               ","               ","               ","               ",0,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"45  ","Live Promotions","Cust Group ID  ","Item Group ID  ","Order Group ID ","               ","               ","               ","               ","               ","               ",1000,1000,1000,1000,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"46  ","Task Number    ","Lic. Plate #   ","Request Batch #","Sugg. Batch #  ","Wave Number    ","               ","               ","               ","               ","               ",1000,1000,1000,1000,1000,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"47  ","EDI Document   ","EDI Batch      ","ERS Invoice    ","               ","               ","               ","               ","               ","               ","               ",933291,892180,4000,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"48  ","Work Order No. ","Billing Control","Invoice Number ","Component Link ","Split Link     ","ECO Number     ","Schedule Number","               ","               ","               ",1003271,30000,1000,30000,1000,30000,1000,0,0,0,"N","N","N","N","N","Y","N","N","N","N"
"49  ","               ","               ","               ","               ","Print Batch    ","               ","               ","Route Number   ","Delivery Number","               ",51,0,0,3,89,0,0,215,12,0,"N","N","N","N","N","N","N","N","N","N"
"51  ","Job Prog. Batch","Job Prog. Doc #","Job Draws      ","Profit Recog   ","               ","               ","               ","               ","               ","               ",1000,1000,1000,1000,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"52  ","               ","               ","               ","               ","               ","               ","               ","               ","               ","               ",1000,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"74  ","               ","               ","               ","Interchange(W) ","Message #      ","               ","               ","               ","               ","               ",0,0,0,1,1,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"75A ","Australian GST ","               ","               ","               ","               ","               ","               ","               ","               ","               ",1,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"76  ","Nota Fiscal    ","Remessa        ","Sales Return   ","               ","               ","               ","               ","               ","               ","               ",102,100,100,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"76H ","               ","               ","               ","               ","               ","               ","               ","               ","               ","               ",0,7336,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"90CA","Attach ID      ","               ","               ","               ","Migration ID   ","               ","               ","               ","               ","               ",1,0,0,0,1,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"90CB","               ","Sales Method ID","               ","               ","               ","               ","               ","Qualificatn ID ","               ","               ",0,10,0,0,0,0,0,18,0,0,"N","N","N","N","N","N","N","N","N","N"
"90CF","Rule Set ID    ","               ","               ","               ","               ","               ","               ","               ","               ","               ",1,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"98  ","Glossary Items ","Error Messages ","Workflow       ","Foundataion    ","               ","               ","               ","               ","               ","               ",600,2000,1000000,1,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"98SA","Address Number ","               ","Document Number","               ","SAICU          ","               ","Item Number    ","               ","               ","               ",53,0,50,0,50,0,50,0,0,0,"Y"," ","Y"," ","Y"," ","Y"," "," "," "
"H90 ","Task ID        ","Variant Number ","               ","               ","               ","               ","               ","               ","               ","               ",39603,1,10361,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"H96D","MTRPrimaryKeys ","               ","               ","               ","               ","               ","               ","               ","               ","               ",11628579,0,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
"55  ","HSEQ           ","               ","               ","               ","               ","               ","               ","               ","               ","               ",1,49,150050,0,0,0,0,0,222,222,"N","N","N","N","N","N","N","N","N","N"
"76C ","Adición reg MM ","MM GL          ","               ","               ","               ","               ","               ","               ","               ","Formatos MM    ",93,19,1,1,1,1,1,1,1,11,"N","N","N","N","N","N","N","N","N","N"
"76CB","               ","               ","               ","               ","               ","               ","               ","               ","               ","               ",196,5,0,0,0,0,0,0,0,0,"N","N","N","N","N","N","N","N","N","N"
