"ZGAVID","ZGAIT","ZGAN8","ZGCO","ZGUKID","ZGAIPR","ZGDTI","ZGRMK","ZGAA1","ZGAA2","ZGUSER","ZGPID","ZGUPMJ","ZGUPMT","ZGJOBN"
1041,"22",35058,"00001",0,"4",108221,"                              ",210773,0,"GLOZANO   ","B03B0068.C",108221,202505,"INDBOENT  "
1042,"22",35065,"00001",0,"4",108221,"                              ",9000000,0,"GLOZANO   ","B03B0068.C",108221,202506,"INDBOENT  "
1043,"22",35066,"00001",0,"4",108221,"                              ",12500000,0,"GLOZANO   ","B03B0068.C",108221,202506,"INDBOENT  "
1044,"22",35067,"00001",0,"4",108221,"                              ",5000000,0,"GLOZANO   ","B03B0068.C",108221,202506,"INDBOENT  "
1045,"22",10078,"00001",0,"4",108221,"                              ",8291890,0,"GLOZANO   ","B03B0068.C",108221,203849,"INDBOENT  "
1046,"22",10081,"00001",0,"4",108221,"                              ",8291890,0,"GLOZANO   ","B03B0068.C",108221,203854,"INDBOENT  "
1,"22",100546,"00000",0,"4",108245,"                              ",204726000,0,"AFONSECA  ","B03B0068.C",108245,161935,"INDBOENT  "
2,"22",35025,"00000",0,"4",108269,"                              ",24000000,12000000,"AFONSECA  ","B03B0068.C",108269,165630,"INDBOENT  "
3,"22",102539,"00000",0,"4",109028,"                              ",2417241379300,0,"JMOROZCO  ","B03B0068.C",109028,175713,"INDBOENT  "
4,"22",102540,"00000",0,"4",109029,"                              ",1427150000000,0,"JMOROZCO  ","B03B0068.C",109029,113500,"INDBOENT  "
5,"22",102540,"00000",0,"4",109029,"                              ",14271500000,0,"JMOROZCO  ","B03B0068.C",109029,113501,"INDBOENT  "
6,"22",102539,"00000",0,"4",109029,"                              ",2417241379,24172413793,"JMOROZCO  ","B03B0068.C",109029,144511,"INDBOENT  "
7,"20",10067,"00001",0,"1",109281,"                              ",0,0,"MESTUPINAN","B03B0068.C",109281,172230,"INDBOENT  "
8,"20",10069,"00001",0,"1",109281,"                              ",0,0,"MESTUPINAN","B03B0068.C",109281,172231,"INDBOENT  "
9,"20",10070,"00001",0,"1",109281,"                              ",0,0,"MESTUPINAN","B03B0068.C",109281,172232,"INDBOENT  "
10,"20",10071,"00001",0,"1",109281,"                              ",0,0,"MESTUPINAN","B03B0068.C",109281,172232,"INDBOENT  "
11,"20",10072,"00001",0,"1",109281,"                              ",0,0,"MESTUPINAN","B03B0068.C",109281,172232,"INDBOENT  "
12,"20",10073,"00001",0,"1",109281,"                              ",0,0,"MESTUPINAN","B03B0068.C",109281,172232,"INDBOENT  "
13,"20",10074,"00001",0,"1",109281,"                              ",0,0,"MESTUPINAN","B03B0068.C",109281,172232,"INDBOENT  "
14,"20",10075,"00001",0,"1",109281,"                              ",0,0,"MESTUPINAN","B03B0068.C",109281,172232,"INDBOENT  "
15,"20",10078,"00001",0,"1",109281,"                              ",8291890,0,"MESTUPINAN","B03B0068.C",109281,172232,"INDBOENT  "
16,"20",10079,"00001",0,"1",109281,"                              ",8779338,0,"MESTUPINAN","B03B0068.C",109281,172232,"INDBOENT  "
17,"21",10079,"00001",0,"1",109281,"                              ",688036621,8779338,"MESTUPINAN","B03B0068.C",109281,172232,"INDBOENT  "
18,"20",10080,"00001",0,"1",109281,"                              ",8779338,0,"MESTUPINAN","B03B0068.C",109281,172232,"INDBOENT  "
19,"21",10080,"00001",0,"1",109281,"                              ",1452361264,8779338,"MESTUPINAN","B03B0068.C",109281,172232,"INDBOENT  "
20,"20",10081,"00001",0,"1",109281,"                              ",8291890,0,"MESTUPINAN","B03B0068.C",109281,172233,"INDBOENT  "
21,"21",10081,"00001",0,"1",109281,"                              ",1367031463,8291890,"MESTUPINAN","B03B0068.C",109281,172233,"INDBOENT  "
22,"20",35005,"00001",0,"1",109281,"                              ",5000000,0,"MESTUPINAN","B03B0068.C",109281,172233,"INDBOENT  "
23,"21",35005,"00001",0,"1",109281,"                              ",20349273,5000000,"MESTUPINAN","B03B0068.C",109281,172233,"INDBOENT  "
24,"20",35022,"00001",0,"1",109281,"                              ",296029831,0,"MESTUPINAN","B03B0068.C",109281,172233,"INDBOENT  "
25,"20",35031,"00001",0,"1",109281,"                              ",232859832,0,"MESTUPINAN","B03B0068.C",109281,172233,"INDBOENT  "
26,"20",35033,"00001",0,"1",109281,"                              ",4000000,0,"MESTUPINAN","B03B0068.C",109281,172233,"INDBOENT  "
27,"21",35033,"00001",0,"1",109281,"                              ",57417800,4000000,"MESTUPINAN","B03B0068.C",109281,172233,"INDBOENT  "
28,"20",35043,"00001",0,"1",109281,"                              ",0,0,"MESTUPINAN","B03B0068.C",109281,172233,"INDBOENT  "
29,"20",35057,"00001",0,"1",109281,"                              ",0,0,"MESTUPINAN","B03B0068.C",109281,172233,"INDBOENT  "
30,"20",35060,"00001",0,"1",109281,"                              ",0,0,"MESTUPINAN","B03B0068.C",109281,172233,"INDBOENT  "
