ORDEN PLANEADO ,EXCLUIR CUENTA UNICA,EPICA,SDATOOL,FEATURE,DELIVERABLE,LINK JIRA,NOMBRE PROYECTO,DOMINIO,PROGRAMA,SPRINT (VP),TIER,PLAN(Portafolio),TAG (MP),TECNOLOGÍA,COMPLEJIDAD,GREMIO (DIRECCIÓN SYSTEM),DIRECCIÓN SYSTEM (4),PORTAFOLIO PLAN ASCENSO,PLAN MERCURIO,PLAN AREA REVIEW,COMITE (VP),DIRECCIÓN DE INGENIERIA,TIPOS DE MANTENIMIENTO,CATEGORIA DEL PROYECTO,TIPO (EMC-OTROS),EMC COMPROMETIDO,FECHA REPLANIFICACIÓN,FECHA REPLANIFICACIÓN 2,FECHA REPLANIFICACIÓN 3,MARCA REPLAN,MOTIVO REPLANIFICACIÓN,TIPO DE METODOLOGÍA,PROGRAM INCREMENT,TYPE OF DELIVERY,SERVICE OWNER,LIDER TECNICO,PROGRAM MANAGER,PO-OWNER,TECH MANAGER,ARQUITECTURA,CORPORATE SECURITY,TDM,TALENTO BBVA,TALENTO EXTERNO,RATIO STAFFING,"PRESUPUESTO
(PRESUPUESTADO) (Capex)","PRESUPUESTO
 (COMPROMETIDO)
(Capex)",PRESUPUESTO REALIZADO (Capex),PRESUPUESTO DISPONIBLE,PAYBACK,VALOR DE RETORNO,COMENTARIO SEGUIMIENTO,CREACION COMENTARIO,ACTUALIZACIÓN COMENTARIO,AVANCE REAL,AVANCE TEORICO,DESVIACIÓN,IMAGEN ESTADO,ESTADO,INDICADOR
2,PLANEADO,E2E-51791,33065,CCIBS-320,,https://globaldevtools.bbva.com/jira/browse/CCIBS-320,Renovación remesas del exterior en canales BBVA,CIB,5.Productos_CORE,,Tier 2,4.Cross_Sell,,Sin Dato,Sin dato,Banking Applications System,,,,,CIB,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q2,22/11/2021,,,▶,Construcción,Unknown,2022-Q2,Customer Delivery,john.ardila,sebastian.martinez.jaramillo,,geraldine.martinez.contractor,,,,,,,,1Q,SYSTEMS, $32.392.151, $0,,,29/04/2022: En validación de  CONTROL- M distribuido para realizar ajuste indicado por CCR México. Por parte de cuentas y netcash. ,29/04/2022,29/04/2022,,,,⬤,Deployed,1. A Tiempo
4,PLANEADO,E2E-41896,31457,CCIBS-351,,https://globaldevtools.bbva.com/jira/browse/CCIBS-351,DealCoampare_Front_Fase_1,CIB,4.Transformación_de_la_Red,,Tier 3,8.Normativos,,Sin Dato,Sin dato,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,CIB,1.Systems_Engineering,2.Proyecto,,3.Otros,,18/03/2022,,,▶,Infraestructura,Unknown,2022-Q2,Enabler Delivery,mairanela.ramirez.salazar,alfredojose.pertuz,,geraldine.martinez.contractor,,,,,,,,DESLIZADOS,SYSTEMS, $25.874.561, $0,,,"29/04/2022: 

EMC 1, tiene como objetivo subir los componente visuales del aplicativo (Cells) el cual tiene como fecha el 12 mayo en producción.

	   Certificado.



EMC 2, se entregara la BD y los jobs de parametria y lectura de insumos con fecha estimada para el 27 may.

	   Se encuentra en trámite para instalar en QA, se ha presentado dificultad debido a que las personas que instalan no tienen un usuario para realizar el despliegue.



EMC 3, el cual completa los demás componentes para tener aplicativo completo en producción el 9 de jun

	   El avance de la actividad se encuentra en un 92% de pruebas técnicas, se espera terminar la semana próxima.

",29/04/2022,29/04/2022,,,,⬤,In Progress,2. Atrasado
6,PLANEADO,E2E-65631,34598,CCIBS-442,,https://globaldevtools.bbva.com/jira/browse/CCIBS-442,Macros Procesos de Negocio - Blotter,CIB,4.Transformación_de_la_Red,,Tier 3,17.Otros,,Sin Dato,Sin dato,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,28/02/2021,,,▶,Cliente - Definición,Unknown,2022-Q2,Enabler Delivery,mairanela.ramirez.salazar,alfredojose.pertuz,,geraldine.martinez.contractor,,,,,,,,1Q,SYSTEMS, $100.221.937, $0,,,"29/04/2022.

	El EMC 1 fue certificado por los usuarios y se espera instalar el viernes 6 de mayo
	El EMC 2 se encuentra en documentación de campos, esta actividad se estima cerrar el 6 de mayo.

",29/04/2022,29/04/2022,,,,⬤,Test,2. Atrasado
8,PLANEADO,E2E-99639,36689,CCIBS-473,,https://globaldevtools.bbva.com/jira/browse/CCIBS-473,PAGOS_BOTON_PSE_FX,CIB,1.Ventas_Digitales,,Tier 1,4.Cross_Sell,,Sin Dato,Sin dato,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,CIB,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,Cliente - Definición,Unknown,2022-Q3,Customer Delivery,mairanela.ramirez.salazar,alfredojose.pertuz,,geraldine.martinez.contractor,,,,,,,,1Q,SYSTEMS, $448.141.117, $0,,,"29/04/2022: Estatus proyecto PSE
Avance 73% 69%
Tareas Semana:

	Pruebas unitarias del proceso batch de la reclasificación enlace BT y ACH 
	Gestión con MX de adecuación de índices servicios PSE
	Sesión con ACH para adecuación y validaciones con el usuario de pruebas
	Pruebas de no afectación giros
	Pruebas del servicio del blotter de PSE en NETCASH
	Sesiones parametría contable BT con Edgar Ibañez y Btsystem
	Pruebas unitarias interface PSE con BT
	Pruebas de flexibilización servicio de comisiones Vs BT




	Avance desarrollos en aplicativos Netcash, Banktrade, PSE, CXP y Mensajería



Pendientes:

	PO. Gestión Superbancaria modificación producto.
	Financiera. Entrega de cambio en la definición contable
	Financiera y PO. Creación Cuenta para modulo de CXP



Tareas Próximas: 

	Versión inicial del front de NC para validar no afectación
	Reasignación de usuarios de pruebas de ACH
	Validación de centros contables de ACH y BG en pruebas de concepto
	Documentación procesos requeridos para conciliación en HA.
	Validación diferencias flexibilización comisiones entre ASO  Vs BT
	Ajustes desarrollos de la interfaz de PSE con BT para rechazos
	Matriz de perfilado para transacciones 
	Avance desarrollos en aplicativos Netcash, Banktrade, PSE, CXP y Mensajería



Riesgos:

	Versión entregada por Btsystem tiene inconsistencias
	Concurrencia servicio ASO PSE del proyecto GLOMO
	Ajuste en servicios por la actualización de la versión de ASO

",29/04/2022,29/04/2022,,,,⬤,In Progress,2. Atrasado
10,PLANEADO,E2E-3941,9653,CCS1-177,,https://globaldevtools.bbva.com/jira/browse/CCS1-177,Ajuste logs Tantia,Regulation & Internal Control,7.Otros,,Tier 3,8.Normativos,,Sin Dato,Baja,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,7.Otros,1.EMC,2022-Q1,,,,,,Waterfall,2022-Q1,Enabler Delivery,vm.jimenez,alcibiades.rodriguez,,diegofernando.uribe,,,,,,,,,,,,,,"21/01/2022. Se realizó el paso a producción y pruebas en oficina sin inconvenientes
13/01/22: Paso a comité gestión de cambios Enero 19/22. Instalación Enero 20/22
7/01/22: Solicitud VoBo. 
29/12/22: Se realizaron pruebas en ambiente de calidad exitósamente. Próxima semana se realizarán pruebas en ambiente de preproducción
Proyecto no requiere perfilado
24/12/21: Asignado tester, en proceso de certificación
17/12/21: Enviado a calidad para la certificación correspondiente
10/12: En pruebas unitarias. Se presentó error que se revisará con seguridad para solucionarlo
07/12: En etapa de construcción. Diseño técnico entregado por parte del proveedor, revisado y con VoBo de Carolina Gaitán
26/11. Inicio proyecto Nov. 22/21
19/11: Dotación realizada. En la fecha se envía anexo A firmado para inicio desarrollos en Nov/22 y generación plan",24/03/2022,29/03/2022,,,,⬤,Deployed,2. Atrasado
12,PLANEADO,E2E-130144,37914,CCS1-257,,https://globaldevtools.bbva.com/jira/browse/CCS1-257,Aplicacion de pagos pending automaticos PSE en MP,Engineering,,,Tier 2,,,,,Enterprise System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q3,Customer Delivery,carlos.barreto,heidy.bernal,,heidy.bernal,,,,,,,,,,,,,,28/04/2022 En Sancion Tecnica ,28/04/2022,28/04/2022,,,,⬤,Test,1. A Tiempo
14,PLANEADO,E2E-93995,36282,CCSS-11713,,https://globaldevtools.bbva.com/jira/browse/CCSS-11713,Dirección de entrega de Tarjetas,Client Solutions,7.Otros,,Tier 1,3.Credit_Cards,5.Otros,Sin Dato,Sin dato,Banking Applications System,,,,,,1.Systems_Engineering,2.Proyecto,7.Otros,3.Otros,,,,,,,Unknown,2022-Q2,Customer Delivery,manuel.villamil,cesar_gomez,,INGRID VANESSA ORTIZ VERANO,,,,,,,,,,,,,,28/04/2022. Se instaló en Producción el 22-04-2022. Pendiente Instalar version NACAR para otra funcionalidad de tarjeta debito. se implelentó solucion tactica por 3270 en el entretanto.,28/04/2022,28/04/2022,,,,⬤,Test,1. A Tiempo
16,PLANEADO,E2E-66436,34778,CCSS-12256,,https://globaldevtools.bbva.com/jira/browse/CCSS-12256,Adelanto de venta Fase 2,Client Solutions,2.Pymes/Empresas,Pymes,Tier 3,,,Sin Dato,Sin dato,Banking Applications System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q3,Customer Delivery,hernan.riveros,lizethandrea.pico,,irene.angel,,,,,,,,,,,,,,"29/04/2022: En desarrollo de acuerdo al plan, Se finaliza la entrega del proyecto a Oscar Mesa del equipo de Net Cash De la fase 1 aun está pendiente el alta del producto, a continuación estado de los casos detectados en pruebas con clientes

	Caso 1 - Cliente Hermanos Garcia Gomez S.A, se presentó pantalla de Desembolso exitoso pero se presentó fallo porque este cliente no pasó la validación en CIFIN al final del flujo de préstamos, se realizó el ajuste y se pasa a calidad hoy 29/04/2022, ya que debe incluirse dentro del release de Net Cash que tiene fecha programada para el 27/05/2022
	Caso 2 - Centro de salud y estética ,  Se generó pagaré pero el flujo falló  porque este cliente no pasó la validación en CIFIN al final del flujo de préstamos, por lo que se va a modificar dicho flujo para asegurar validaciones antes del desembolso, se realizó el ajuste y se pasa a calidad hoy 29/04/2022,



Se detalla el status de los demás casos:

	Caso 2 - Cliente SEDAR, Se generó pagaré pero el flujo falló por validación de centro de costo, se regularizó y se programa prueba para el 03/05/2022
	Caso 3 -  Cliente Eurokera, fallo en pagaré digital por tipo de documento Cédula de Extranjería, esto es una definición adicional que está pendiente por confirmar Andrea Jimenez
	Tagging:  85% en producción pendiente de certificación por Holding y el 15%  en certificación de ajuste solicitado por Holding, fecha de paso a producción release net cash 27/05/2022

",29/04/2022,29/04/2022,,,,⬤,In Progress,1. A Tiempo
18,PLANEADO,E2E-47093,32407,CCSS-12768,,https://globaldevtools.bbva.com/jira/browse/CCSS-12768,PAGARÉ DIGITAL,Client Solutions,2.Pymes/Empresas,,Tier 1,6.Higth_Priority_Initiative,2.Generación_de_Ingresos,,,Enterprise System,,,,,,1.Systems_Engineering,2.Proyecto,1.Software_Aplicativo,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,hernan.riveros,irene.angel,,irene.angel,,,,,,,,,,,,,,Sin Comentario,,20/04/2022,,,,⬤,Ready To Verify,1. A Tiempo
20,PLANEADO,E2E-136543,38529,CCSS-12818,,https://globaldevtools.bbva.com/jira/browse/CCSS-12818,Renovación ATM;s 2Q,Client Solutions,,,Tier 1,,,,,,,,,,,,,,3.Otros,,,,,,,Unknown,2022-Q2,Customer Delivery,,edna.salas,,ferney.guzman,,,,,,,,,,,,,,Sin Comentario,,29/04/2022,,,,⬤,New,Estado New
