ORDEN_PLANEADO;EXCLUIR_CUENTA_UNICA;EPICA;SDATOOL;FEATURE;DELIVERABLE;LINKJIRA;NOMBRE_PROYECTO;DOMINIO;PROGRAMA;SPRINT_(VP);TIER;PLAN(Portafolio);TAG_(MP);TECNOLOGÍA;COMPLEJIDAD;GREMIO_(DIRECCIÓNSYSTEM);DIRECCIÓN_SYSTEM_(4);PORTAFOLIO_PLAN_ASCENSO;PLAN_MERCURIO;PLAN_AREA_REVIEW;COMITÉ_(VP);DIRECCIÓN_DE_INGENIERIA;TIPOS_De_MANTENIMIENTO;CATEGORIADELPROYECTO;TIPO(EMC-OTROS);EMCCOMPROMETIDO;FECHAREPLANIFICACIÓN;FECHAREPLANIFICACIÓN2;FECHAREPLANIFICACIÓN3;MOTIVOREPLANIFICACIÓN;TIPODEMETODOLOGÍA;PROGRAMINCREMENT;TYPEOFDELIVERY;SERVICEOWNER;LIDERTECNICO;PROGRAMMANAGER;PO-OWNER;TECHMANAGER;ARQUITECTURA;CORPORATESECURITY;TDM;TALENTOBBVA;TALENTOEXTERNO;RATIOSTAFFING;"PRESUPUESTO
(PRESUPUESTADO)(Capex)";"PRESUPUESTO
(COMPROMETIDO)
(Capex)";PRESUPUESTOREALIZADO(Capex);PRESUPUESTODISPONIBLE;PAYBACK;VALORDERETORNO;COMENTARIOSEGUIMIENTO;CREACIONCOMENTARIO;ACTUALIZACIÓNCOMENTARIO;AVANCEREAL;AVANCETEORICO;DESVIACIÓN;ESTADO;INDICADOR
2;PLANEADO;E2E-51791;33065;CCIBS-320;;https://globaldevtools.bbva.com/jira/browse/CCIBS-320;Renovación remesas del exterior en canales BBVA;CIB;5.Productos_CORE;;Tier 2;4.Cross_Sell;;Sin Dato;Sin dato;Banking Applications System;;;;;CIB;1.Systems_Engineering;2.Proyecto;;1.EMC;2022-Q2;22/11/2021;;;Construcción;Unknown;2022-Q2;Customer Delivery;john.ardila;sebastian.martinez.jaramillo;;geraldine.martinez.contractor;;;;;;;;1Q;SYSTEMS;$ 32.392.151;$ 0;;; En validación de  CONTROL- M distribuido para realizar ajuste indicado por CCR México. Por parte de cuentas y netcash. ;29/04/2022;29/04/2022;;;;Deployed;1. A Tiempo
4;PLANEADO;E2E-41896;31457;CCIBS-351;;https://globaldevtools.bbva.com/jira/browse/CCIBS-351;DealCoampare_Front_Fase_1;CIB;4.Transformación_de_la_Red;;Tier 3;8.Normativos;;Sin Dato;Sin dato;Subsidiary-Corp.Functions-Riesgos-CIB;;;;;CIB;1.Systems_Engineering;2.Proyecto;;3.Otros;;18/03/2022;;;Infraestructura;Unknown;2022-Q2;Enabler Delivery;mairanela.ramirez.salazar;alfredojose.pertuz;;geraldine.martinez.contractor;;;;;;;;DESLIZADOS;SYSTEMS;$ 25.874.561;$ 0;;;" 

EMC 1, tiene como objetivo subir los componente visuales del aplicativo (Cells) el cual tiene como fecha el 12 mayo en producción.

	   Certificado.



EMC 2, se entregara la BD y los jobs de parametria y lectura de insumos con fecha estimada para el 27 may.

	   Se encuentra en trámite para instalar en QA, se ha presentado dificultad debido a que las personas que instalan no tienen un usuario para realizar el despliegue.



EMC 3, el cual completa los demás componentes para tener aplicativo ";29/04/2022;29/04/2022;;;;In Progress;2. Atrasado
6;PLANEADO;E2E-65631;34598;CCIBS-442;;https://globaldevtools.bbva.com/jira/browse/CCIBS-442;Macros Procesos de Negocio - Blotter;CIB;4.Transformación_de_la_Red;;Tier 3;17.Otros;;Sin Dato;Sin dato;Subsidiary-Corp.Functions-Riesgos-CIB;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;28/02/2021;;;Cliente - Definición;Unknown;2022-Q2;Enabler Delivery;mairanela.ramirez.salazar;alfredojose.pertuz;;geraldine.martinez.contractor;;;;;;;;1Q;SYSTEMS;$ 100.221.937;$ 0;;;"

	El EMC 1 fue certificado por los usuarios y se espera instalar el viernes 6 de mayo
	El EMC 2 se encuentra en documentación de campos, esta actividad se estima cerrar el 6 de mayo.

";29/04/2022;29/04/2022;;;;Test;2. Atrasado
8;PLANEADO;E2E-99639;36689;CCIBS-473;;https://globaldevtools.bbva.com/jira/browse/CCIBS-473;PAGOS_BOTON_PSE_FX;CIB;1.Ventas_Digitales;;Tier 1;4.Cross_Sell;;Sin Dato;Sin dato;Subsidiary-Corp.Functions-Riesgos-CIB;;;;;CIB;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;Cliente - Definición;Unknown;2022-Q3;Customer Delivery;mairanela.ramirez.salazar;alfredojose.pertuz;;geraldine.martinez.contractor;;;;;;;;1Q;SYSTEMS;$ 448.141.117;$ 0;;;" Estatus proyecto PSE
Avance 73% 69%
Tareas Semana:

	Pruebas unitarias del proceso batch de la reclasificación enlace BT y ACH 
	Gestión con MX de adecuación de índices servicios PSE
	Sesión con ACH para adecuación y validaciones con el usuario de pruebas
	Pruebas de no afectación giros
	Pruebas del servicio del blotter de PSE en NETCASH
	Sesiones parametría contable BT con Edgar Ibañez y Btsystem
	Pruebas unitarias interface PSE con BT
	Pruebas de flexibilización servicio de comisiones Vs BT

";29/04/2022;29/04/2022;;;;In Progress;2. Atrasado
10;PLANEADO;E2E-3941;9653;CCS1-177;;https://globaldevtools.bbva.com/jira/browse/CCS1-177;Ajuste logs Tantia;Regulation & Internal Control;7.Otros;;Tier 3;8.Normativos;;Sin Dato;Baja;Subsidiary-Corp.Functions-Riesgos-CIB;;;;;;1.Systems_Engineering;2.Proyecto;7.Otros;1.EMC;2022-Q1;;;;;Waterfall;2022-Q1;Enabler Delivery;vm.jimenez;alcibiades.rodriguez;;diegofernando.uribe;;;;;;;;;;;;;;" Se realizó el paso a producción y pruebas en oficina sin inconvenientes
13/01/22: Paso a comité gestión de cambios Enero 19/22. Instalación Enero 20/22
7/01/22: Solicitud VoBo. 
29/12/22: Se realizaron pruebas en ambiente de calidad exitósamente. Próxima semana se realizarán pruebas en ambiente de preproducción
Proyecto no requiere perfilado
24/12/21: Asignado tester, en proceso de certificación
17/12/21: Enviado a calidad para la certificación correspondiente
10/12: En pruebas unitarias. Se pr";24/03/2022;29/03/2022;;;;Deployed;2. Atrasado
12;PLANEADO;E2E-130144;37914;CCS1-257;;https://globaldevtools.bbva.com/jira/browse/CCS1-257;Aplicacion de pagos pending automaticos PSE en MP;Engineering;;;Tier 2;;;;;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q3;Customer Delivery;carlos.barreto;heidy.bernal;;heidy.bernal;;;;;;;;;;;;;;En Sancion Tecnica ;28/04/2022;28/04/2022;;;;Test;1. A Tiempo
14;PLANEADO;E2E-93995;36282;CCSS-11713;;https://globaldevtools.bbva.com/jira/browse/CCSS-11713;Dirección de entrega de Tarjetas;Client Solutions;7.Otros;;Tier 1;3.Credit_Cards;5.Otros;Sin Dato;Sin dato;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;7.Otros;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;manuel.villamil;cesar_gomez;;INGRID VANESSA ORTIZ VERANO;;;;;;;;;;;;;; Se instaló en Producción el 22-04-2022. Pendiente Instalar version NACAR para otra funcionalidad de tarjeta debito. se implelentó solucion tactica por 3270 en el entretanto.;28/04/2022;28/04/2022;;;;Test;1. A Tiempo
16;PLANEADO;E2E-66436;34778;CCSS-12256;;https://globaldevtools.bbva.com/jira/browse/CCSS-12256;Adelanto de venta Fase 2;Client Solutions;2.Pymes/Empresas;Pymes;Tier 3;;;Sin Dato;Sin dato;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q3;Customer Delivery;hernan.riveros;lizethandrea.pico;;irene.angel;;;;;;;;;;;;;;" En desarrollo de acuerdo al plan, Se finaliza la entrega del proyecto a Oscar Mesa del equipo de Net Cash De la fase 1 aun está pendiente el alta del producto, a continuación estado de los casos detectados en pruebas con clientes

	Caso 1 - Cliente Hermanos Garcia Gomez S.A, se presentó pantalla de Desembolso exitoso pero se presentó fallo porque este cliente no pasó la validación en CIFIN al final del flujo de préstamos, se realizó el ajuste y se pasa a calidad hoy 29/04/2022, ya que debe incl";29/04/2022;29/04/2022;;;;In Progress;1. A Tiempo
18;PLANEADO;E2E-47093;32407;CCSS-12768;;https://globaldevtools.bbva.com/jira/browse/CCSS-12768;PAGARÉ DIGITAL;Client Solutions;2.Pymes/Empresas;;Tier 1;6.Higth_Priority_Initiative;2.Generación_de_Ingresos;;;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;1.Software_Aplicativo;1.EMC;2022-Q2;;;;;Unknown;2022-Q2;Functional;hernan.riveros;irene.angel;;irene.angel;;;;;;;;;;;;;;rio;;20/04/2022;;;;Ready To Verify;1. A Tiempo
20;PLANEADO;E2E-136543;38529;CCSS-12818;;https://globaldevtools.bbva.com/jira/browse/CCSS-12818;"Renovación ATM;s 2Q";Client Solutions;;;Tier 1;;;;;;;;;;;;;;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;;edna.salas;;ferney.guzman;;;;;;;;;;;;;;rio;;29/04/2022;;;;New;Estado New
