name;geometry;;
Vatican City;POINT (12.453386544971766 41.903282179960115);;
San Marino;POINT (12.441770157800141 43.936095834768004);;
Vaduz;POINT (9.516669472907267 47.13372377429357);;
Luxembourg;POINT (6.130002806227083 49.611660379121076);;
Palikir;POINT (158.1499743237623 6.916643696007725);;
Majuro;POINT (171.38000017574655 7.103004311216239);;
Funafuti;POINT (179.21664709402887 -8.516651999041073);;
Melekeok;POINT (134.62654846699218 7.487396172977981);;
Monaco;POINT (7.406913173465057 43.73964568785249);;
Tarawa;POINT (173.01757082854942 1.338187505624603);;
Moroni;POINT (43.240244098693324 -11.70415769566847);;
Andorra;POINT (1.5164859605055199 42.5000014435459);;
Port-of-Spain;POINT (-61.51703088544974 10.651997089577264);;
Kigali;POINT (30.058585919064114 -1.9516442100632503);;
Mbabane;POINT (31.133334512056365 -26.316650778409212);;
Juba;POINT (31.580025592787308 4.829975198277964);;
Ljubljana;POINT (14.51496903347413 46.0552883087945);;
Bratislava;POINT (17.11698075223461 48.15001832996171);;
Doha;POINT (51.532967894299304 25.286556008906587);;
Podgorica;POINT (19.266306924118226 42.465972512881706);;
Bern;POINT (7.466975462482424 46.91668275866772);;
Pristina;POINT (21.165984251599866 42.666709614119384);;
Roseau;POINT (-61.387012981803366 15.301015644283325);;
Djibouti;POINT (43.148001667052256 11.595014464255485);;
Banjul;POINT (-16.591701489212596 13.45387646031594);;
Skopje;POINT (21.4334614651425 42.00000612290586);;
Bridgetown;POINT (-59.61652673505159 13.10200258275114);;
Bujumbura;POINT (29.360006061528395 -3.376087220374643);;
Kingstown;POINT (-61.212062420279324 13.14827882786841);;
Castries;POINT (-61.00000818036955 14.00197348933034);;
Basseterre;POINT (-62.71700931969934 17.302030455489387);;
Port Louis;POINT (57.49999385460973 -20.166638571353246);;
Saint George's;POINT (-61.74164322607476 12.052633401720414);;
Manama;POINT (50.58305171591019 26.236136290485945);;
Saint John's;POINT (-61.85003381513866 17.118036518314113);;
Montevideo;POINT (-56.17299814703597 -34.856095707590725);;
Lome;POINT (1.22081126074562 6.133882930268385);;
Tunis;POINT (10.179678099212026 36.80277813623144);;
Abu Dhabi;POINT (54.36659338259199 24.466683572379907);;
Ashgabat;POINT (58.38329911177465 37.949994933110986);;
Lusaka;POINT (28.28138173611427 -15.414698409335926);;
Harare;POINT (31.042763572062825 -17.815843835777798);;
Dili;POINT (125.57945593170507 -8.559388408546454);;
Port Vila;POINT (168.31664058356864 -17.733350404025828);;
Tegucigalpa;POINT (-87.2194751979415 14.103990759076396);;
Georgetown;POINT (-58.167028647480606 6.8019736927520285);;
Reykjavík;POINT (-21.950014487179544 64.15002361973922);;
Port-au-Prince;POINT (-72.33798044690553 18.54297045473237);;
Kampala;POINT (32.581377667121046 0.318604813383331);;
Paramaribo;POINT (-55.16703088542437 5.835030129922586);;
Niamey;POINT (2.114710186530374 13.51865181050647);;
Dushanbe;POINT (68.77387935270173 38.56003521631658);;
Asuncion;POINT (-57.643451027901335 -25.294457117057675);;
Managua;POINT (-86.27043751890119 12.154962438756115);;
Freetown;POINT (-13.236161599012746 8.471957271098177);;
Islamabad;POINT (73.16468862105955 33.70194180895959);;
Kathmandu;POINT (85.31469635222788 27.718637772477223);;
Bloemfontein;POINT (26.22991288117737 -29.119993877378704);;
Pretoria;POINT (28.22748321723384 -25.704974695184433);;
Port Moresby;POINT (147.19250362059358 -9.464707825867777);;
Honiara;POINT (159.94976573360566 -9.437994295089595);;
Panama City;POINT (-79.53498301041077 8.969963049094872);;
Rabat;POINT (-6.83640815612614 34.02530731107282);;
Chisinau;POINT (28.85771113965143 47.005023619670624);;
Maputo;POINT (32.58721710397009 -25.953331628778983);;
Mogadishu;POINT (45.36473175245874 2.068627192947531);;
Muscat;POINT (58.593312132608844 23.613324807728134);;
Colombo;POINT (79.85775060925641 6.931965758182116);;
Ulaanbaatar;POINT (106.91466990374653 47.91861925856074);;
Wellington;POINT (174.78327429127694 -41.29997393927641);;
Windhoek;POINT (17.08354610054181 -22.570006084383806);;
Abuja;POINT (7.53138214293233 9.085279007754195);;
Bissau;POINT (-15.598360841320755 11.865023822980561);;
Amman;POINT (35.93135406687412 31.951971105827454);;
Vilnius;POINT (25.3166352932829 54.68336631175862);;
Riga;POINT (24.099965371403187 56.95002382316096);;
Bishkek;POINT (74.58325836390367 42.875025305090105);;
Maseru;POINT (27.483273069984477 -29.316674378681626);;
Antananarivo;POINT (47.51467804152986 -18.914691492032148);;
Quito;POINT (-78.5019969671124 -0.2130423220355624);;
San Jose;POINT (-84.08599721127536 9.936958288356607);;
San Salvador;POINT (-89.2049870794599 13.711947505494038);;
Kingston;POINT (-76.7674337136691 17.977076623830897);;
Ndjamena;POINT (15.047202455462298 12.115042394810644);;
Malabo;POINT (8.783277545821136 3.750015278026183);;
Asmara;POINT (38.933323525759306 15.333339252681924);;
Zagreb;POINT (15.999994668245677 45.80000673327254);;
Tallinn;POINT (24.72804072947855 59.43387737948592);;
Lilongwe;POINT (33.78330195998353 -13.983295065469179);;
Guatemala;POINT (-90.52891143656154 14.623080521448173);;
Libreville;POINT (9.457965045823698 0.3853886097185182);;
Suva;POINT (178.44170731537986 -18.133015931371233);;
Nouakchott;POINT (-15.975340414890013 18.086427021247516);;
Bamako;POINT (-8.001984963249697 12.65196052632325);;
Beirut;POINT (35.507762351377664 33.8739209756269);;
Tbilisi;POINT (44.788849590997984 41.72695584707759);;
Astana;POINT (71.427774209483 51.18112530425759);;
Vientiane;POINT (102.59998002015476 17.96669272762739);;
Brazzaville;POINT (15.282743633848668 -4.257239913197509);;
Conakry;POINT (-13.682180886123945 9.53346870502179);;
Yamoussoukro;POINT (-5.275502564912301 6.8183809600046175);p-5275502564912300;18
Ottawa;POINT (-75.70196115980951 45.41864265536043);;
Belgrade;POINT (20.466044822020535 44.82059130444674);;
Bandar Seri Begawan;POINT (114.93328405666227 4.883331114619239);;
Sucre;POINT (-65.25951562667564 -19.04097084673947);;
Belmopan;POINT (-88.76707299981655 17.252033507246892);;
Bangui;POINT (18.558288125287277 4.366644306349087);;
Yaounde;POINT (11.514704896854425 3.868646520754112);;
Tirana;POINT (19.81888301461521 41.327540709491586);;
Yerevan;POINT (44.51160553175208 40.18309659414189);;
Baku;POINT (49.860271303257775 40.39721789134302);;
Phnom Penh;POINT (104.91468862118643 11.55197598855841);;
La Paz;POINT (-68.15193104910219 -16.49602775504337);;
Cotonou;POINT (2.518044740568598 6.401954422782467);;
Sofia;POINT (23.314708152110086 42.68529528393054);;
Minsk;POINT (27.56468129665825 53.901923295043105);;
Thimphu;POINT (89.63901403703 27.472985859175765);;
Gaborone;POINT (25.91194779328538 -24.646313457438907);;
Canberra;POINT (149.1290262442992 -35.283028545372076);;
Ouagadougou;POINT (-1.5266696149164432 12.372261836543373);;
Sarajevo;POINT (18.383001666953305 43.850022398954934);;
Naypyidaw;POINT (96.11667267063035 19.76850288475015);;
Nukualofa;POINT (-175.22056447761656 -21.13851235669864);;
Hargeysa;POINT (44.06531001666542 9.56002239881775);;
Victoria;POINT (55.44998978559113 -4.6166316539734);;
Sao Tome;POINT (6.733325153234773 0.3334021188329075);;
Apia;POINT (-171.73864160860316 -13.841545042448445);;
Valletta;POINT (14.514710651312782 35.89973248193087);;
Male;POINT (73.499947467955 4.1667081898118);;
Jerusalem;POINT (35.20662593459866 31.778407815573303);;
Praia;POINT (-23.51668888497221 14.916698017328656);;
Nassau;POINT (-77.35004378427612 25.08339011535122);;
Nicosia;POINT (33.36663488641415 35.166676451654496);;
Hanoi;POINT (105.8480683412422 21.035273107737055);;
Ankara;POINT (32.862445782356644 39.929184444075474);;
Budapest;POINT (19.081374818759684 47.50195218499135);;
Sanaa;POINT (44.20464752393843 15.356679154263645);;
Bucharest;POINT (26.0980007953504 44.43531766349457);;
Damascus;POINT (36.29805003041707 33.50197985420613);;
Lisbon;POINT (-9.14681216410213 38.72466873648784);;
Khartoum;POINT (32.532233380011576 15.590024084277673);;
Oslo;POINT (10.748033347372314 59.91863614500187);;
Warsaw;POINT (20.998053692465305 52.25194648839556);;
Pyongyang;POINT (125.75274485499392 39.02138455800434);;
Dar es Salaam;POINT (39.26639597769457 -6.798066736124383);;
Dublin;POINT (-6.250851540391068 53.335006994584944);;
Monrovia;POINT (-10.799660436775923 6.314581647160139);;
Kuala Lumpur;POINT (101.69803741674644 3.168611730712371);;
Havana;POINT (-82.3661280299533 23.1339046995422);;
Prague;POINT (14.464033917048539 50.08528287347832);;
Kuwait;POINT (47.97635528762527 29.371663488629565);;
Santo Domingo;POINT (-69.90203094331503 18.472018713195382);;
Accra;POINT (-0.2186615989606935 5.551980464445933);;
Tripoli;POINT (13.180011758078194 32.89250001935369);;
Helsinki;POINT (24.93218048284558 60.17750923256807);;
København;POINT (12.561539888703294 55.68051004902594);;
Abidjan;POINT (-4.041994118507091 5.321942826098564);;
Brasilia;POINT (-47.91799814700306 -15.781394372878992);;
Brussels;POINT (4.33137074969045 50.83526293533032);;
Dhaka;POINT (90.40663360810754 23.725005570312817);;
Luanda;POINT (13.23248118266855 -8.836340255012658);;
Algiers;POINT (3.048606670909237 36.765010656628135);;
Rangoon;POINT (96.16473175266185 16.785299963188777);;
Caracas;POINT (-66.91898305105042 10.502944413033333);;
Kiev;POINT (30.514682110472165 50.43531318760722);;
Tashkent;POINT (69.29298696088779 41.31364774160721);;
Madrid;POINT (-3.6852975446125242 40.40197212311381);;
Stockholm;POINT (18.095388874180912 59.35270581286585);;
Bangkok;POINT (100.51469879369489 13.751945064087977);;
Lima;POINT (-77.05200795343472 -12.04606681752557);;
Dakar;POINT (-17.47507598705056 14.717777583623274);;
Johannesburg;POINT (28.028063865019476 -26.16809888138414);;
Amsterdam;POINT (4.914694317400972 52.35191454666443);;
Seoul;POINT (126.99778513820195 37.56829495838895);;
Manila;POINT (120.9802713035424 14.606104813440538);;
Berlin;POINT (13.399602764700546 52.523764522251156);;
Kinshasa;POINT (15.313026023171744 -4.327778243275986);;
New Delhi;POINT (77.19998002005303 28.600023009245433);;
Athens;POINT (23.731375225679358 37.98527209055226);;
Baghdad;POINT (44.391922914564134 33.34059435615865);;
Addis Ababa;POINT (38.69805857534868 9.035256221295754);;
Tehran;POINT (51.42239817500899 35.673888627001304);;
Buenos Aires;POINT (-58.399477232331435 -34.600555749907414);;
Kabul;POINT (69.18131419070505 34.51863614490031);;
Vienna;POINT (16.364693096743736 48.20196113681686);;
Taipei;POINT (121.568333333333 25.0358333333333);;
Washington, D.C.;POINT (-77.01136443943716 38.901495235087054);;
London;POINT (-0.118667702475932 51.5019405883275);;
Riyadh;POINT (46.770795798688255 24.642779007816443);;
Cape Town;POINT (18.43304229922603 -33.91806510862875);;
Moscow;POINT (37.6135769672714 55.75410998124818);;
Mexico City;POINT (-99.1329340602939 19.444388301415472);;
Rome;POINT (12.481312562873995 41.89790148509894);;
Beijing;POINT (116.38633982565943 39.93083808990906);;
Nairobi;POINT (36.81471100047145 -1.2814008832377795);;
Jakarta;POINT (106.82749176247012 -6.172471846798885);;
Bogota;POINT (-74.08528981377441 4.598369421147822);;
Cairo;POINT (31.248022361126118 30.051906205103705);;
Tokyo;POINT (139.74946157054467 35.686962764371174);;
Paris;POINT (2.33138946713035 48.86863878981461);;
Santiago;POINT (-70.66898671317483 -33.448067956934096);;
Singapore;POINT (103.85387481909902 1.2949793251059418);;
Medellin;POINT (-75,57480000000000000 6,24470000000000000);;
Cali;POINT (-76,51970000000000000 3,440000000000000);;
Barranquilla;POINT (-74,79640000000000000 10,96390000000000000);;
Cartagena;POINT (-75,52530000000000000 10,42360000000000000);;
Soacha;POINT (-74,21440000000000000 4,57810000000000000);;
Palermo;POINT (-75,43390000000000000 2,88830000000000000);;
Cucuta;POINT (-72,50470000000000000 7,90750000000000000);;
Soledad;POINT (-74,770000000000000 10,920000000000000);;
Pereira;POINT (-75,69460000000000000 4,81430000000000000);;
Bucaramanga;POINT (-73,11610000000000000 7,11860000000000000);;
Valledupar;POINT (-73,25970000000000000 10,46030000000000000);;
Ibague;POINT (-75,20060000000000000 4,43780000000000000);;
Villavicencio;POINT (-73,62940000000000000 4,14250000000000000);;
Santa Marta;POINT (-74,20170000000000000 11,23610000000000000);;
Monteria;POINT (-75,88560000000000000 8,760000000000000);;
Manizales;POINT (-75,48470000000000000 5,06610000000000000);;
Buenaventura;POINT (-77,02670000000000000 3,87720000000000000);;
Pasto;POINT (-77,28110000000000000 1,21360000000000000);;
Bello;POINT (-75,55810000000000000 6,33190000000000000);;
Neiva;POINT (-75,28750000000000000 2,92750000000000000);;
Armenia;POINT (-75,67250000000000000 4,53890000000000000);;
Popayan;POINT (-76,60610000000000000 2,44110000000000000);;
Sincelejo;POINT (-75,39580000000000000 9,29940000000000000);;
Floridablanca;POINT (-73,09780000000000000 7,06970000000000000);;
Itagüi;POINT (-75,60960000000000000 6,17260000000000000);;
Envigado;POINT (-75,58030000000000000 6,17190000000000000);;
Tulua;POINT (-76,19860000000000000 4,08470000000000000);;
Tumaco;POINT (-78,76470000000000000 1,80670000000000000);;
Barrancabermeja;POINT (-73,84720000000000000 7,06750000000000000);;
Tunja;POINT (-73,36140000000000000 5,54030000000000000);;
Zipaquira;POINT (-74,00140000000000000 5,02470000000000000);;
Turbo;POINT (-76,72830000000000000 8,09310000000000000);;
Yopal;POINT (-72,39060000000000000 5,33060000000000000);;
Dosquebradas;POINT (-75,67610000000000000 4,83610000000000000);;
Riohacha;POINT (-72,90690000000000000 11,54420000000000000);;
Giron;POINT (-73,16810000000000000 7,07310000000000000);;
Florencia;POINT (-75,61170000000000000 1,61420000000000000);;
Fusagasuga;POINT (-74,36440000000000000 4,33720000000000000);;
Cartago;POINT (-75,910000000000000 4,750000000000000);;
Pitalito;POINT (-76,05140000000000000 1,85390000000000000);;
Cienaga;POINT (-74,250000000000000 11,01040000000000000);;
Sogamoso;POINT (-72,93330000000000000 5,71580000000000000);;
Quibdo;POINT (-76,65820000000000000 5,69230000000000000);;
Girardot;POINT (-74,80390000000000000 4,30360000000000000);;
Duitama;POINT (-73,02970000000000000 5,82190000000000000);;
Magangue;POINT (-74,75940000000000000 9,24670000000000000);;
Maicao;POINT (-72,24140000000000000 11,37780000000000000);;
Uribia;POINT (-72,26580000000000000 11,71390000000000000);;
Piedecuesta;POINT (-73,05030000000000000 6,98860000000000000);;
Facatativa;POINT (-74,35530000000000000 4,81470000000000000);;
Guadalajara de Buga;POINT (-76,29860000000000000 3,90360000000000000);;
Madrid;POINT (-74,26390000000000000 4,73060000000000000);;
Santander de Quilichao;POINT (-76,48390000000000000 3,00830000000000000);;
Aguachica;POINT (-73,61530000000000000 8,30670000000000000);;
Ipiales;POINT (-77,64060000000000000 0,82890000000000000);;
Chia;POINT (-74,05280000000000000 4,86330000000000000);;
Jamundi;POINT (-76,53940000000000000 3,26080000000000000);;
Arauca;POINT (-70,76170000000000000 7,09030000000000000);;
Yumbo;POINT (-76,49440000000000000 3,57780000000000000);;
Mosquera;POINT (-74,23280000000000000 4,70780000000000000);;
Fundacion;POINT (-74,19220000000000000 10,51720000000000000);;
Ocaña;POINT (-73,35530000000000000 8,24610000000000000);;
Montelibano;POINT (-75,41810000000000000 7,97110000000000000);;
Chiquinquira;POINT (-73,81640000000000000 5,61750000000000000);;
Sabanalarga;POINT (-74,92360000000000000 10,630000000000000);;
Chigorodo;POINT (-76,68140000000000000 7,66970000000000000);;
Cerete;POINT (-75,79110000000000000 8,88670000000000000);;
Caldas;POINT (-75,63610000000000000 6,08860000000000000);;
Funza;POINT (-74,20940000000000000 4,71750000000000000);;
Los Patios;POINT (-72,5050000000000000 7,83420000000000000);;
Tierralta;POINT (-76,05940000000000000 8,17280000000000000);;
El Carmen de Bolivar;POINT (-75,11670000000000000 9,71670000000000000);;
La Dorada;POINT (-74,66470000000000000 5,45380000000000000);;
Arjona;POINT (-75,34470000000000000 10,2550000000000000);;
Turbaco;POINT (-75,41420000000000000 10,33190000000000000);;
Espinal;POINT (-74,88190000000000000 4,14860000000000000);;
