Continente; País;;;;;
Europa;AUSTRIA;;;;;
Europa;BELGICA;;;;;
Europa;BULGARIA;;;;;
Europa;CHIPRE;;;;;
Europa;DINAMARCA;;;;;
Europa;ESPAÑA;;;;;
Europa;FINLANDIA;;;;;
Europa;FRANCIA;;;;;
Europa;GRECIA;;;;;
Europa;HUNGRIA;;;;;
Europa;IRLANDA;;;;;
Europa;ITALIA;;;;;
Europa;LUXEMBURGO;;;;;
Europa;MALTA;;;;;
Europa;PAISES BAJOS;;;;;
Europa;POLONIA;;;;;
Europa;PORTUGAL;;;;;
Europa;REINO UNIDO;;;;;
Europa;ALEMANIA;;;;;
Europa;RUMANIA;;;;;
Europa;SUECIA;;;;;
Europa;LETONIA;;;;;
Europa;ESTONIA;;;;;
Europa;LITUANIA;;;;;
Europa;REPUBLICA CHECA;;;;;
Europa;REPUBLICA ESLOVACA;;;;;
Europa;ESLOVENIA;;;;;
Europa;ALBANIA;;;;;
Europa;ISLANDIA;;;;;
Europa;LIECHTENSTEIN;;;;;
Europa;MONACO;;;;;
Europa;NORUEGA;;;;;
Europa;ANDORRA;;;;;
Europa;SAN MARINO;;;;;
Europa;SANTA SEDE;;;;;
Europa;SUIZA;;;;;
Europa;UCRANIA;;;;;
Europa;MOLDAVIA;;;;;
Europa;BELARUS;;;;;
Europa;GEORGIA;;;;;
Europa;BOSNIA Y HERZEGOVINA;;;;;
Europa;CROACIA;;;;;
Europa;ARMENIA;;;;;
Europa;RUSIA;;;;;
Europa;MACEDONIA ;;;;;
Europa;SERBIA;;;;;
Europa;MONTENEGRO;;;;;
Europa;GUERNESEY;;;;;
Europa;SVALBARD Y JAN MAYEN;;;;;
Europa;ISLAS FEROE;;;;;
Europa;ISLA DE MAN;;;;;
Europa;GIBRALTAR;;;;;
Europa;ISLAS DEL CANAL;;;;;
Europa;JERSEY;;;;;
Europa;ISLAS ALAND;;;;;
Europa;TURQUIA;;;;;
AFRICA;BURKINA FASO;;;;;
AFRICA;ANGOLA;;;;;
AFRICA;ARGELIA;;;;;
AFRICA;BENIN;;;;;
AFRICA;BOTSWANA;;;;;
AFRICA;BURUNDI;;;;;
AFRICA;CABO VERDE;;;;;
AFRICA;CAMERUN;;;;;
AFRICA;COMORES;;;;;
AFRICA;CONGO;;;;;
